Index, Domain (.com), Price ($)
3, ablecase, 280
4, ablechild, 4188
5, ablecompany, taken
6, ablecountry, 11.99
7, ableday, 3295
8, ableeye, 4588
9, ablefact, 11.99
10, ablefamily, taken
11, ablegovernment, 11.99
12, ablegroup, taken
13, ablehand, 1888
14, ablehome, taken
15, ablejob, 3195
16, ablelife, taken
17, ablelot, taken
18, ableman, taken
19, ablemoney, 2000
20, ablemonth, 11.99
21, ablemother, taken
22, ableMr, 11.99
23, ablenight, 11.99
24, ablenumber, taken
25, ablepart, taken
26, ablepeople, 2288
27, ableplace, 5995
28, ablepoint, taken
29, ableproblem, 11.99
30, ableprogram, 2795
31, ablequestion, taken
32, ableright, 3195
33, ableroom, 2595
34, ableschool, 2995
35, ablestate, taken
36, ablestory, taken
37, ablestudent, 2888
38, ablestudy, taken
39, ablesystem, taken
40, ablething, taken
41, abletime, 500
42, ablewater, 3000
43, ableway, 4595
44, ableweek, 2438
45, ablewoman, 2288
46, ableword, 2995
47, ablework, 2695
48, ableworld, taken
49, ableyear, 11.99
50, badarea, taken
51, badbook, taken
52, badbusiness, 42900
53, badcase, taken
54, badchild, taken
55, badcompany, taken
56, badcountry, taken
57, badday, taken
58, badeye, 2299
59, badfact, taken
60, badfamily, taken
3, ablecase, 280
4, ablechild, 4188
5, ablecompany, taken
6, ablecountry, 11.99
7, ableday, 3295
